ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
27,EURUSDz,buy,2.0,2023-09-25 08:35:00,1.06324,2023-09-25 08:40:00,1.06297,1.06297,1.06532,-53.999999999998494,14.0,0.0,-67.9999999999985,SL,0,300.0,-110.00000000001009,2.0000000000131024,-55.00000000000504,1.0000000000065512,2.607795776914419,9935.039999999972,9958.039999999988,fade breakout down,0,long
28,EURUSDz,buy,1.07,2023-09-26 16:00:00,1.0573,2023-09-26 17:10:00,1.05678,1.05681,1.0593,-55.639999999984376,7.49,0.0,-63.12999999998438,SL,13,4200.0,-51.3599999999801,41.73000000001203,-47.999999999981384,39.00000000001125,4.002550123113666,9871.909999999987,9889.564999999982,fade breakout down,0,long
29,EURUSDz,buy,0.88,2023-09-27 09:50:00,1.05588,2023-09-27 10:50:00,1.0553,1.0553,1.05739,-51.040000000002195,6.16,0.0,-57.20000000000219,SL,11,3600.0,-44.88000000000092,43.12000000000893,-51.00000000000104,49.00000000001014,2.287171293270967,9814.709999999985,9842.42999999999,fade breakout down,0,long
30,EURUSDz,sell,2.33,2023-09-28 08:25:00,1.05187,2023-09-28 08:30:00,1.0521,1.05208,1.04911,-53.589999999988926,16.310000000000002,0.0,-69.89999999998892,SL,0,300.0,-72.22999999995584,79.22000000005336,-30.99999999998104,34.0000000000229,2.406367004581803,9744.809999999996,9862.47500000004,fade breakout up,0,short
31,EURUSDz,sell,1.62,2023-09-29 09:40:00,1.06096,2023-09-29 09:45:00,1.06127,1.06128,1.05743,-50.220000000005264,11.34,0.0,-61.56000000000526,SL,0,300.0,-79.38000000001645,17.82000000000883,-49.00000000001014,11.000000000005448,0.4742937598102215,9683.24999999999,9661.37999999999,fade breakout up,0,short
32,EURUSDz,sell,1.86,2023-10-03 08:40:00,1.04832,2023-10-03 08:55:00,1.04866,1.04863,1.046,-63.240000000001295,13.020000000000001,0.0,-76.2600000000013,SL,2,900.0,-27.90000000001758,33.48000000001283,-15.000000000009448,18.0000000000069,7.38859764231003,9606.989999999989,9671.159999999996,fade breakout up,0,short
33,EURUSDz,sell,1.41,2023-10-04 08:30:00,1.0484,2023-10-04 08:35:00,1.04874,1.04874,1.04514,-47.94000000000098,9.87,0.0,-57.810000000000976,SL,0,300.0,-56.39999999999378,0.0,-39.999999999995595,0.0,-0.6570291741451972,9549.179999999988,9585.135000000004,fade breakout up,0,short
34,EURUSDz,sell,0.67,2023-10-05 13:40:00,1.05214,2023-10-05 14:00:00,1.05287,1.05284,1.05017,-48.909999999993126,4.69,0.0,-53.59999999999312,SL,3,1200.0,-39.52999999999118,42.21000000000875,-58.999999999986834,63.00000000001304,1.516929598516191,9495.579999999994,9516.685,fade breakout up,0,short
35,EURUSDz,sell,0.87,2023-10-06 08:15:00,1.05477,2023-10-06 08:50:00,1.05533,1.05531,1.05316,-48.72000000001009,6.09,0.0,-54.81000000001009,SL,6,2100.0,-26.099999999997127,46.11000000001231,-29.999999999996692,53.00000000001414,1.5958695324853074,9440.769999999984,9478.615,fade breakout up,0,short
36,EURUSDz,sell,0.76,2023-10-11 14:15:00,1.06233,2023-10-11 17:35:00,1.05956,1.06302,1.05956,210.51999999999538,5.32,0.0,205.19999999999538,TP,39,12000.0,-48.63999999999802,178.60000000000565,-63.999999999997385,235.00000000000742,7.327724932014659,9645.96999999998,9609.109999999991,fade breakout up,0,short
